clade_name	DRR127476	DRR127478	DRR127481	DRR127485	DRR127488	DRR127491	DRR127507	DRR127509	DRR127514	DRR127515	DRR127517	DRR127519	DRR127521	DRR127524	DRR127532	DRR127535	DRR127536	DRR127537	DRR127546	DRR127552	DRR127557	DRR127559	DRR127567	DRR127579	DRR127580	DRR127583	DRR127588	DRR127594	DRR127596	DRR127597	DRR127603	DRR127613	DRR127616	DRR127617	DRR127619	DRR127625	DRR127628	DRR127634	DRR127638	DRR127646	DRR127647	DRR127649	DRR127666	DRR127669	DRR127672	DRR127674	DRR127683	DRR127685	DRR127692	DRR127700	DRR127704	DRR127707	DRR127708	DRR127713	DRR127718	DRR127720	DRR127721	DRR127724	DRR127728	DRR127731	DRR127736	DRR127737	DRR127748	DRR127751	DRR127752	DRR127754	DRR127755	DRR127756	DRR127762	DRR127763	DRR127767	DRR127774	DRR127776	DRR127777	DRR127789	DRR162775	DRR162776	DRR162777	DRR162778	DRR162779
k__Bacteria|p__Actinobacteria	0.0299906	0.0153563	0.0336792999999999	0.0366993	0.0144136	0.1138216	0.0186883	0.0594791999999999	0.1281474	0.1974617	0.0213919	0.0084341	0.0747811999999999	0.0020951	0.0596950999999999	0.1173251	0.0461727	0.3809551	0.002394	0.0778542	0.0033989	0.0164233	0.0067135	0.1617861	0.0098249	0.0016261	0.0490353	0.0792167	0.1025625	0.0099963999999999	0.0759866	0.0121065	0.1436931	0.0179077	0.0175940999999999	0.0155243	0.0435507	0.1030728	0.0375803	0.402626	0.0722494	0.0355487	0.008298	0.0771232	0.0030568	0.0325314	0.0004404	0.1418843	0.0326857	0.0791038	0.0160361	0.0557022	0.0542035	7.66e-05	0.000489	0.0155055	0.0016187999999999	0.0070060999999999	0.0167272	0.1445532	0.0418701	0.0091339	0.3889947	0.5616456	0.0121856999999999	0.1277122	0.0517346	0.0358141	0.003091	0.0222997	0.3593345	0.0266699	0.409864	0.1750379999999999	0.0443673	0.0125119	0.0814418	0.1330821	0.0409427	0.0613811
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.0108221999999999	0.0052923	0.0134334	0.0241343	0.0092905	0.0885376	0.000386	0.0194807	0.1138271	0.0874959999999999	0.0144896	0.0013619	0.0255911	0.0007047	0.0037225	0.0948103	0.0298864999999999	0.3329573	0.0	0.0710501	0.0014732	0.0147136	0.0014802	0.1592906	0.002937	0.0002481999999999	0.032585	0.0343152	0.0897229	0.0070915	0.0203311999999999	0.004563	0.1133715	0.0052844	0.0174772	0.0128039	0.0350507	0.084266	0.0264051	0.3669682999999999	0.0692499	0.0308453	0.0035376	0.04131	0.000251	0.0303611999999999	0.0002213	0.1299423	0.0272421999999999	0.0446480999999999	0.0041361	0.0231536	0.0424321	2.62e-05	0.0	0.0070418	0.0001742	4.54e-05	0.0158627	0.1284156	0.0397872	0.0064281999999999	0.3882396	0.5604944	0.0026371	0.0448386	0.0375598	0.0167081	0.0011618	0.0142623	0.2831743	0.0008738	0.4072898	0.136457	0.0321713	0.0079982	0.0587934	0.1151239999999999	0.0253783	0.0009906
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.0014865	0.0001838	0.0	0.0	1.22e-05	0.0	0.0001623	4.41e-05	0.0092764	9.11e-05	1.4999999999999998e-06	7.860000000000001e-05	2.99e-05	6.02e-05	0.0017194999999999	0.0	0.0004066999999999	2.2300000000000003e-05	0.0	0.0	0.0	0.0	0.0013322	3.1e-06	2.4e-05	0.0	0.0	0.000126	0.0015183	0.0003615999999999	0.0	0.0	0.0	0.0003276	0.0	0.0	3.52e-05	2.82e-05	0.0	0.0	0.0006451	0.0	0.0	0.0029952	0.0	8.54e-05	0.0	0.0040543	0.0	0.00212	1.02e-05	0.0022681	0.0	2.62e-05	0.0	0.0002316	0.0	3.42e-05	0.0001526	1.11e-05	0.0	0.0003128999999999	5.49e-05	0.0005359	3.19e-05	0.0005717	2.8e-05	0.0065752999999999	0.0	0.0	0.0	3.3600000000000004e-05	3.62e-05	0.0004136999999999	0.0	0.0	8.73e-05	0.0001128	6.11e-05	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.0014865	0.0001838	0.0	0.0	1.22e-05	0.0	0.0001623	4.41e-05	0.0092764	9.11e-05	1.4999999999999998e-06	7.860000000000001e-05	2.99e-05	6.02e-05	0.0017194999999999	0.0	0.0004066999999999	2.2300000000000003e-05	0.0	0.0	0.0	0.0	0.0013322	3.1e-06	2.4e-05	0.0	0.0	0.000126	0.0015183	0.0003615999999999	0.0	0.0	0.0	0.0003276	0.0	0.0	3.52e-05	2.82e-05	0.0	0.0	0.0006451	0.0	0.0	0.0029952	0.0	8.54e-05	0.0	0.0040543	0.0	0.00212	1.02e-05	0.0022681	0.0	2.62e-05	0.0	0.0002316	0.0	3.42e-05	0.0001526	1.11e-05	0.0	0.0003128999999999	5.49e-05	0.0005359	3.19e-05	0.0005717	2.8e-05	0.0065752999999999	0.0	0.0	0.0	3.3600000000000004e-05	3.62e-05	0.0004136999999999	0.0	0.0	8.73e-05	0.0001128	6.11e-05	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.0014865	0.0001838	0.0	0.0	1.22e-05	0.0	0.0001623	4.41e-05	0.0091689	9.11e-05	1.4999999999999998e-06	7.860000000000001e-05	2.99e-05	6.02e-05	0.0017194999999999	0.0	0.0004066999999999	2.2300000000000003e-05	0.0	0.0	0.0	0.0	0.0013322	3.1e-06	2.4e-05	0.0	0.0	0.000126	0.0015183	0.0003615999999999	0.0	0.0	0.0	0.0003276	0.0	0.0	3.52e-05	2.82e-05	0.0	0.0	0.0006451	0.0	0.0	0.0029952	0.0	8.54e-05	0.0	0.0040543	0.0	0.00212	1.02e-05	0.0022681	0.0	2.62e-05	0.0	0.0002316	0.0	3.42e-05	0.0001526	1.11e-05	0.0	0.0003128999999999	5.49e-05	0.0005359	3.19e-05	0.0005717	2.8e-05	0.0065752999999999	0.0	0.0	0.0	3.3600000000000004e-05	3.62e-05	0.0004136999999999	0.0	0.0	8.73e-05	0.0001128	6.11e-05	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_cardiffensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.06e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.7e-06	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002991	0.0	0.0	0.0	0.0	0.0	0.0002151	0.0	2.47e-05	0.0	0.0	0.0	0.0	0.0	7.46e-05	0.0	0.0	0.0	0.0	5.999999999999999e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.53e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.64e-05	0.0	0.0	0.0	0.0002392	0.0	0.0	0.0	0.0	0.0	7.1e-06	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	0.0002541	4.9e-05	0.0	0.0	1.22e-05	0.0	0.0001623	0.0	0.0029582	3.08e-05	0.0	3.32e-05	2.63e-05	0.0	0.0003975	0.0	0.0001152	2.2300000000000003e-05	0.0	0.0	0.0	0.0	0.0004119	3.1e-06	0.0	0.0	0.0	7.6e-06	0.0010646	0.0	0.0	0.0	0.0	4e-06	0.0	0.0	0.0	2.82e-05	0.0	0.0	0.0002023	0.0	0.0	0.0008884	0.0	0.0	0.0	0.0011156	0.0	0.0	1.02e-05	0.0002044999999999	0.0	3.4e-06	0.0	0.0	0.0	1.6e-06	0.0001005999999999	0.0	0.0	0.0	2.31e-05	0.0001240999999999	0.0	9.94e-05	0.0	0.0015279999999999	0.0	0.0	0.0	3.3600000000000004e-05	3.28e-05	4.61e-05	0.0	0.0	0.0	0.000102	1.96e-05	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001388	0.0	0.0	3.1e-06	0.0	0.0	0.0	0.0	1.93e-05	0.0	0.0	0.0	0.0	0.0	3.5e-06	0.0	0.0	0.0	0.0	5.3e-06	2.57e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.81e-05	0.0	0.0	0.0	0.0002885	0.0	0.0	0.0	7.59e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13e-05	0.0	0.0	0.0	0.0002407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMSC035G02	3.51e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026538	0.0	0.0	0.0	0.0	0.0	6.64e-05	0.0	0.000173	0.0	0.0	0.0	0.0	0.0	0.0002273	0.0	0.0	0.0	0.0	4.36e-05	0.0001349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-06	0.0	0.0	0.0	6.8e-05	0.0	0.0	0.0002247	0.0	0.0	0.0	0.0004404	0.0	0.0	0.0	1.62e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.64e-05	0.0	0.0	0.0	0.0003671	0.0	0.0	0.0	0.0	3.5e-06	0.0	0.0	0.0	0.0	1.08e-05	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HPA0247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.35e-05	0.0	4.98e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5399999999999998e-05	3.45e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.4000000000000006e-06	0.0	0.0	0.0	0.0	0.0	0.0001474999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47	0.0	0.000105	0.0	0.0	0.0	0.0	0.0	4.41e-05	0.0019112999999999	6.02e-05	1.4999999999999998e-06	1.89e-05	0.0	0.0	0.0010045	0.0	7.09e-05	0.0	0.0	0.0	0.0	0.0	0.0004169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002366	0.0	0.0	0.0016614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016497	0.0	0.0	0.0	0.0	0.0	3.26e-05	0.0	0.0	0.0	0.0	0.0	0.0001433	1.4499999999999998e-05	0.0004724	0.0	0.0025935	0.0	0.0	0.0	0.0	0.0	0.0002652	0.0	0.0	8.73e-05	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_S6_Spd3	0.0004863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.02e-05	0.0	2.1e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001381	0.0	0.0	2.95e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.59e-05	0.0	0.0	0.0	0.0	0.0	0.0	4.25e-05	1e-05	0.0	0.0	2.2000000000000003e-05	8.869999999999999e-05	0.0	0.0	0.0	0.0001397999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.48e-05	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_170	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.73e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_181	0.0007111	2.98e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000524	0.0	0.0	0.0	3.6000000000000003e-06	1.04e-05	3.6e-05	0.0	3.6000000000000003e-06	0.0	0.0	0.0	0.0	0.0	1.97e-05	0.0	2.19e-05	0.0	0.0	4.83e-05	0.0001794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.32e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003788	0.0	0.0	0.0	0.0	0.0	2.28e-05	0.0	0.0	0.0	0.0	9.5e-06	1.1e-06	0.0	0.0003065	9.9e-06	9.22e-05	0.0	0.0	2.8e-05	0.0010401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
