# Feature / Sample	Validation|UMCGIBD00126	Validation|UMCGIBD00371	Validation|UMCGIBD00485	Validation|UMCGIBD00238	Validation|UMCGIBD00269	Validation|UMCGIBD00053	Validation|UMCGIBD00613	Validation|UMCGIBD00347	Validation|UMCGIBD00208	Validation|UMCGIBD00027	Validation|UMCGIBD00072	Validation|LLDeep_0010	Validation|LLDeep_0027
Adlercreutzia_equolifaciens	0.022184	0.020361	0.023131	0.022807	0.024883	0.022803	0.022675	0.022635	0.022477	0.025072	0.022625	0.020460	0.022654
Collinsella_aerofaciens	0.059530	0.066037	0.075874	0.075575	0.075094	0.078034	0.078057	0.082887	0.072874	0.084177	0.077834	0.064012	0.070616
Collinsella_intestinalis	0.028153	0.023835	0.037096	0.033119	0.034426	0.034971	0.033872	0.033823	0.033614	0.039654	0.036615	0.026396	0.035937
Collinsella_unclassified	0.036947	0.027916	0.040951	0.036305	0.038800	0.036579	0.031876	0.036773	0.036204	0.040658	0.040604	0.033507	0.037844
Eggerthella_lenta	0.015942	0.015513	0.018880	0.019667	0.016289	0.017725	0.018945	0.018402	0.021679	0.025576	0.017852	0.018350	0.021521
Eggerthella_sp_1_3_56FAA	0.071712	0.053021	0.070153	0.066138	0.076838	0.066621	0.063944	0.066620	0.072175	0.074187	0.071675	0.063684	0.071035
Eggerthella_unclassified	0.029352	0.026126	0.034760	0.032918	0.033886	0.034276	0.030489	0.032119	0.035604	0.038530	0.033803	0.028687	0.035735
Gordonibacter_pamelaeae	0.013685	0.013288	0.015648	0.016128	0.014217	0.014481	0.013836	0.014792	0.016031	0.019332	0.014997	0.014883	0.016437
Slackia_piriformis	0.016281	0.015307	0.019751	0.019704	0.020512	0.020582	0.020605	0.019303	0.022079	0.024727	0.021533	0.017825	0.023046
Bacteroides_caccae	0.026840	0.025317	0.033492	0.031640	0.026846	0.028519	0.028277	0.030830	0.029884	0.037500	0.029296	0.024875	0.029229
Bacteroides_cellulosilyticus	0.016023	0.012625	0.018140	0.017445	0.017781	0.017607	0.016033	0.017617	0.017596	0.019266	0.018837	0.013337	0.016569
Bacteroides_dorei	0.029864	0.027527	0.037144	0.036049	0.030018	0.034239	0.033377	0.033687	0.037578	0.046065	0.033957	0.031419	0.039461
Bacteroides_eggerthii	0.035730	0.030007	0.039060	0.038103	0.036678	0.035654	0.031110	0.036838	0.038636	0.041153	0.037245	0.032325	0.033602
Bacteroides_faecis	0.018152	0.015879	0.019465	0.018959	0.018434	0.019107	0.017363	0.019187	0.019672	0.021971	0.020374	0.018346	0.019672
Bacteroides_finegoldii	0.051365	0.040726	0.052605	0.051056	0.058622	0.055328	0.051944	0.051324	0.055846	0.058867	0.057780	0.048432	0.058288
Bacteroides_fragilis	0.021593	0.019235	0.024261	0.025097	0.023189	0.022827	0.022166	0.022515	0.027408	0.031749	0.022912	0.021878	0.026493
Bacteroides_intestinalis	0.053074	0.039325	0.049241	0.048735	0.049756	0.042877	0.042678	0.045823	0.053069	0.054390	0.045866	0.044578	0.047627
Bacteroides_massiliensis	0.015416	0.014497	0.018460	0.018824	0.017191	0.016440	0.016606	0.017816	0.019137	0.022761	0.017756	0.016334	0.018602
Bacteroides_ovatus	0.013345	0.009586	0.012403	0.012228	0.012714	0.012078	0.011885	0.011901	0.012910	0.014909	0.013210	0.011816	0.013986
Bacteroides_salyersiae	0.042990	0.032536	0.038591	0.037713	0.044448	0.039579	0.036222	0.038464	0.039764	0.040073	0.041534	0.036910	0.038036
Bacteroides_sp_2_1_22	0.040107	0.037115	0.047876	0.048503	0.044261	0.046465	0.047404	0.045756	0.052726	0.061374	0.046396	0.038858	0.049030
Bacteroides_stercoris	0.020492	0.017432	0.019915	0.020727	0.021778	0.021549	0.020778	0.019851	0.023631	0.026385	0.022103	0.020808	0.024502
Bacteroides_thetaiotaomicron	0.037601	0.030891	0.037617	0.037412	0.036273	0.035168	0.033478	0.035088	0.039488	0.042602	0.035450	0.035707	0.038782
Bacteroides_uniformis	0.065991	0.067740	0.079790	0.081721	0.077407	0.077825	0.081508	0.079882	0.085507	0.091689	0.079207	0.068977	0.079263
Bacteroides_vulgatus	0.033582	0.030019	0.035277	0.035761	0.033584	0.035636	0.036464	0.034125	0.040925	0.047618	0.034671	0.034051	0.041705
Bacteroides_xylanisolvens	0.019149	0.014973	0.014970	0.015949	0.018391	0.015948	0.017495	0.015300	0.017813	0.019584	0.016481	0.016554	0.019344
Bacteroidales_bacterium_ph8	0.014570	0.011604	0.019460	0.016872	0.017463	0.017518	0.015723	0.017413	0.016415	0.019755	0.019250	0.013139	0.017225
Barnesiella_intestinihominis	0.019864	0.016470	0.021997	0.021549	0.020740	0.019731	0.019111	0.019422	0.023176	0.028096	0.020379	0.018571	0.024077
Odoribacter_laneus	0.034221	0.027227	0.038843	0.035437	0.036176	0.037086	0.034133	0.036656	0.034962	0.039188	0.037178	0.029732	0.035931
Odoribacter_splanchnicus	0.020836	0.019707	0.020873	0.020627	0.020491	0.020276	0.020819	0.020818	0.022289	0.023083	0.021102	0.021127	0.022699
Parabacteroides_distasonis	0.012761	0.010092	0.013269	0.012969	0.011289	0.012473	0.011573	0.011847	0.014606	0.016735	0.012769	0.011688	0.014582
Parabacteroides_goldsteinii	0.066701	0.062196	0.068144	0.069154	0.065070	0.067951	0.069889	0.070718	0.073916	0.080415	0.071920	0.071668	0.079470
Parabacteroides_merdae	0.013675	0.010736	0.014705	0.014021	0.014455	0.014656	0.013341	0.013486	0.014858	0.017371	0.014864	0.011710	0.014687
Parabacteroides_unclassified	0.018512	0.011832	0.017669	0.015962	0.020571	0.018222	0.017489	0.017175	0.018278	0.019003	0.019926	0.014799	0.019141
Paraprevotella_clara	0.013177	0.011550	0.015399	0.015274	0.015672	0.015579	0.014840	0.014379	0.016639	0.018956	0.015658	0.013302	0.016659
Paraprevotella_unclassified	0.019890	0.017711	0.021605	0.022281	0.019986	0.020065	0.020336	0.019642	0.024268	0.029388	0.020034	0.020651	0.025443
Prevotella_copri	0.033053	0.030336	0.033970	0.034678	0.028186	0.031293	0.035041	0.032814	0.039452	0.043728	0.032047	0.037064	0.042121
Alistipes_finegoldii	0.014811	0.015130	0.015470	0.016610	0.016133	0.017259	0.017632	0.017012	0.018510	0.021667	0.017273	0.016679	0.018674
Alistipes_indistinctus	0.013910	0.013102	0.019196	0.018265	0.016653	0.017735	0.016697	0.017730	0.017514	0.022168	0.017946	0.013217	0.016619
Alistipes_onderdonkii	0.016144	0.013370	0.013226	0.014479	0.016430	0.013766	0.013141	0.014506	0.015933	0.017175	0.014286	0.014629	0.013705
Alistipes_putredinis	0.034950	0.030417	0.036626	0.036794	0.033386	0.032674	0.032136	0.033920	0.038843	0.044908	0.032589	0.031207	0.034603
Alistipes_senegalensis	0.059309	0.046994	0.057213	0.055596	0.060970	0.054758	0.048201	0.054756	0.058875	0.061015	0.057979	0.051819	0.054515
Alistipes_shahii	0.016447	0.012493	0.018829	0.018099	0.017415	0.016819	0.015019	0.016521	0.018303	0.023509	0.017441	0.014146	0.018677
Alistipes_sp_AP11	0.020026	0.016774	0.020789	0.020963	0.024901	0.023089	0.020889	0.020772	0.022263	0.023773	0.024409	0.018387	0.022837
Alistipes_sp_HGB5	0.053772	0.042304	0.056669	0.053592	0.057734	0.056195	0.055770	0.053230	0.059404	0.060723	0.057743	0.050190	0.060054
Alistipes_unclassified	0.018551	0.014996	0.019902	0.019110	0.018786	0.018496	0.017376	0.018548	0.020260	0.022664	0.019373	0.016320	0.018737
Enterococcus_avium	0.046067	0.039354	0.056460	0.050430	0.054915	0.054118	0.049027	0.050793	0.054540	0.056407	0.056682	0.041019	0.052617
Enterococcus_faecalis	0.031794	0.030734	0.041169	0.038688	0.036087	0.038319	0.036661	0.037767	0.041207	0.048611	0.038683	0.033313	0.042197
Enterococcus_faecium	0.042245	0.035034	0.046574	0.045201	0.045233	0.043585	0.039217	0.043472	0.046908	0.052186	0.044941	0.038370	0.044391
Lactobacillus_acidophilus	0.076417	0.066054	0.080296	0.078262	0.081269	0.077452	0.076915	0.076956	0.082544	0.094877	0.080795	0.072459	0.082447
Lactobacillus_casei_paracasei	0.033350	0.029004	0.043089	0.039696	0.033670	0.038041	0.033516	0.036706	0.040060	0.049567	0.038630	0.031930	0.043384
Lactobacillus_fermentum	0.058146	0.048942	0.072831	0.066769	0.063339	0.067610	0.061813	0.063341	0.069004	0.082363	0.071282	0.057491	0.078707
Lactobacillus_gasseri	0.034521	0.038913	0.038765	0.042298	0.038036	0.040382	0.044741	0.041049	0.045924	0.054088	0.040001	0.039502	0.045439
Lactobacillus_plantarum	0.043913	0.032035	0.048773	0.044295	0.050636	0.046491	0.041968	0.044477	0.046546	0.050618	0.050561	0.037585	0.046758
Lactobacillus_rhamnosus	0.035338	0.031938	0.043501	0.040757	0.038101	0.038117	0.038435	0.039288	0.042964	0.051149	0.040103	0.034798	0.043885
Lactobacillus_salivarius	0.027070	0.025919	0.031207	0.031502	0.031130	0.030344	0.030229	0.030385	0.033880	0.038675	0.030854	0.027375	0.032092
Pediococcus_acidilactici	0.048082	0.047558	0.054709	0.054040	0.050068	0.053107	0.054119	0.053648	0.056732	0.057606	0.052249	0.048991	0.051884
Pediococcus_lolii	0.020737	0.014789	0.021293	0.020225	0.020032	0.019735	0.017312	0.019205	0.021274	0.023829	0.020728	0.016399	0.020059
Pediococcus_unclassified	0.029464	0.026455	0.031015	0.030481	0.031426	0.030298	0.028914	0.029390	0.033027	0.035955	0.031079	0.028497	0.032391
Leuconostoc_citreum	0.037410	0.027029	0.033881	0.032773	0.037446	0.032215	0.030971	0.033708	0.034280	0.037290	0.034259	0.030111	0.033462
Lactococcus_lactis	0.051234	0.046145	0.043265	0.048479	0.053718	0.049815	0.050234	0.047636	0.056791	0.058353	0.048221	0.048859	0.050944
Streptococcus_australis	0.030136	0.024656	0.035127	0.031830	0.034957	0.033844	0.032289	0.032528	0.032835	0.038105	0.036449	0.027375	0.032971
Streptococcus_lutetiensis	0.032772	0.025487	0.030591	0.029614	0.033704	0.030086	0.030198	0.029847	0.033937	0.036806	0.031958	0.028810	0.033701
Streptococcus_mutans	0.009073	0.008721	0.011207	0.011185	0.010550	0.010799	0.011385	0.011441	0.011892	0.013801	0.011322	0.009472	0.011952
Streptococcus_parasanguinis	0.034888	0.027689	0.039684	0.036453	0.037681	0.038501	0.034787	0.037568	0.034822	0.037118	0.041340	0.030410	0.036806
Streptococcus_salivarius	0.037528	0.033239	0.054828	0.047562	0.046945	0.049473	0.047569	0.048324	0.046352	0.054935	0.055182	0.037658	0.051746
Streptococcus_sanguinis	0.055486	0.040513	0.050535	0.048172	0.054881	0.046525	0.042391	0.046341	0.048976	0.052100	0.050131	0.046797	0.049923
Streptococcus_thermophilus	0.035495	0.032684	0.039575	0.040281	0.040965	0.042295	0.036502	0.038557	0.045132	0.048892	0.040708	0.035049	0.041603
Streptococcus_vestibularis	0.015564	0.012633	0.017509	0.017420	0.017763	0.018199	0.016541	0.017213	0.018648	0.021539	0.018375	0.014549	0.018166
Butyricicoccus_pullicaecorum	0.023943	0.015449	0.024494	0.021362	0.022927	0.021932	0.018902	0.021027	0.022733	0.025651	0.023640	0.019302	0.022897
Clostridiaceae_bacterium_JC118	0.047291	0.044907	0.061475	0.058141	0.058090	0.060907	0.058086	0.058104	0.062984	0.070188	0.063373	0.046460	0.058239
Clostridium_asparagiforme	0.037117	0.029196	0.036970	0.034840	0.039059	0.036244	0.035199	0.035889	0.036271	0.038786	0.037951	0.031193	0.035515
Clostridium_bolteae	0.012181	0.012105	0.015295	0.015099	0.015526	0.015718	0.015855	0.015078	0.017017	0.020074	0.016287	0.012701	0.016792
Clostridium_butyricum	0.034233	0.031979	0.044373	0.042299	0.039155	0.038693	0.037127	0.039010	0.045748	0.055892	0.039296	0.034652	0.045223
Clostridium_clostridioforme	0.014278	0.012162	0.014812	0.015279	0.017630	0.015184	0.014680	0.014383	0.016982	0.019368	0.016051	0.013505	0.016576
Clostridium_hathewayi	0.028493	0.025711	0.029584	0.031037	0.028680	0.029160	0.028252	0.029678	0.034148	0.036574	0.029548	0.027325	0.029602
Clostridium_leptum	0.013311	0.009772	0.013548	0.012588	0.013802	0.013172	0.012277	0.012408	0.013420	0.014445	0.014445	0.011132	0.013105
Clostridium_nexile	0.023158	0.016947	0.017970	0.017945	0.020934	0.017840	0.016517	0.017599	0.018634	0.020231	0.018466	0.018355	0.017623
Clostridium_perfringens	0.044383	0.035939	0.052951	0.049892	0.054969	0.050737	0.047388	0.051014	0.050980	0.056601	0.056225	0.040576	0.048451
Clostridium_scindens	0.039550	0.034395	0.038931	0.039032	0.042695	0.039669	0.039925	0.039342	0.043765	0.046522	0.040681	0.036973	0.043178
Clostridium_sp_KLE_1755	0.038586	0.033147	0.047509	0.043355	0.042661	0.044700	0.043371	0.044746	0.044585	0.048045	0.048349	0.036099	0.043431
Clostridium_sp_L2_50	0.077086	0.061492	0.079117	0.075046	0.078047	0.074080	0.065954	0.073950	0.083673	0.084156	0.076407	0.071076	0.076823
Clostridium_symbiosum	0.013600	0.011798	0.015915	0.015611	0.013853	0.013518	0.012278	0.014286	0.016653	0.019203	0.014101	0.012516	0.013726
Clostridiales_bacterium_1_7_47FAA	0.017231	0.014301	0.019790	0.018257	0.018930	0.018480	0.017812	0.018498	0.018716	0.022291	0.019667	0.015547	0.019112
Flavonifractor_plautii	0.015316	0.014559	0.019156	0.019750	0.017969	0.018309	0.017621	0.018668	0.020449	0.024189	0.018553	0.015051	0.018280
Eubacterium_eligens	0.011869	0.010049	0.015583	0.014505	0.013458	0.014175	0.011891	0.013981	0.014829	0.019012	0.015354	0.011513	0.014661
Eubacterium_hallii	0.088394	0.078343	0.095081	0.090893	0.089968	0.091565	0.085839	0.088354	0.097478	0.102749	0.091639	0.079145	0.088555
Eubacterium_ramulus	0.031451	0.029008	0.034960	0.034550	0.033833	0.033488	0.030678	0.032167	0.036593	0.043919	0.034026	0.032176	0.038509
Eubacterium_rectale	0.147833	0.129921	0.170871	0.160975	0.142909	0.158181	0.170716	0.157886	0.170457	0.197166	0.167856	0.143821	0.185660
Eubacterium_siraeum	0.018782	0.017200	0.021595	0.021300	0.023481	0.022587	0.020445	0.021484	0.022801	0.025337	0.022909	0.017674	0.020627
Eubacterium_sp_3_1_31	0.025397	0.019985	0.023522	0.023941	0.028813	0.025841	0.025363	0.024010	0.026683	0.028401	0.027118	0.022927	0.026107
Eubacterium_ventriosum	0.021588	0.017910	0.023138	0.022266	0.022993	0.023456	0.021399	0.021976	0.024086	0.025431	0.023696	0.020635	0.024197
Anaerostipes_caccae	0.031958	0.024723	0.031701	0.029252	0.036606	0.031105	0.028749	0.030725	0.032030	0.035121	0.032994	0.027232	0.031932
Anaerostipes_hadrus	0.024819	0.020859	0.026510	0.026120	0.026491	0.025669	0.024525	0.025611	0.027483	0.030922	0.026018	0.022851	0.025347
Anaerostipes_unclassified	0.011617	0.009289	0.011163	0.011547	0.012860	0.011854	0.011102	0.011176	0.012947	0.014334	0.012035	0.010480	0.012124
Blautia_hansenii	0.048728	0.032156	0.039663	0.037465	0.046779	0.040960	0.038023	0.038262	0.042713	0.043671	0.043366	0.038391	0.044194
Blautia_hydrogenotrophica	0.018714	0.018684	0.023454	0.023764	0.021870	0.023359	0.021497	0.023015	0.023981	0.027083	0.024107	0.020779	0.024753
Blautia_producta	0.022835	0.019954	0.033081	0.030066	0.026667	0.029873	0.028059	0.029250	0.030567	0.037233	0.031325	0.023633	0.032260
Ruminococcus_gnavus	0.031698	0.023750	0.032626	0.030930	0.035718	0.032141	0.027297	0.028609	0.031836	0.039205	0.033132	0.024782	0.030819
Ruminococcus_obeum	0.066495	0.056231	0.062944	0.063693	0.075368	0.063826	0.062862	0.063365	0.066728	0.071852	0.065614	0.057180	0.061357
Ruminococcus_torques	0.099844	0.085941	0.115241	0.109600	0.118122	0.112256	0.104669	0.110052	0.115008	0.113981	0.120170	0.093614	0.111601
Coprococcus_catus	0.020412	0.020287	0.025460	0.024857	0.023979	0.025190	0.024123	0.024920	0.026931	0.032818	0.024808	0.021467	0.026591
Coprococcus_comes	0.053560	0.042129	0.048707	0.048476	0.051120	0.046747	0.045253	0.045276	0.051883	0.056672	0.047807	0.045566	0.050030
Coprococcus_sp_ART55_1	0.026120	0.031857	0.035933	0.038698	0.032902	0.035513	0.034468	0.036388	0.040247	0.050499	0.034673	0.030549	0.035066
Dorea_formicigenerans	0.042267	0.034600	0.041338	0.042098	0.042079	0.040616	0.037779	0.039900	0.047205	0.050607	0.041273	0.040044	0.043465
Dorea_longicatena	0.092534	0.087661	0.109088	0.105972	0.105753	0.101792	0.096302	0.102045	0.102254	0.113583	0.103547	0.084789	0.094790
Dorea_unclassified	0.016367	0.013903	0.015010	0.015968	0.016958	0.016207	0.014645	0.015484	0.017037	0.017767	0.016214	0.014838	0.015271
Lachnospiraceae_bacterium_1_1_57FAA	0.026354	0.023970	0.028280	0.028859	0.030955	0.028611	0.025454	0.027833	0.027307	0.032270	0.030008	0.025366	0.028805
Lachnospiraceae_bacterium_1_4_56FAA	0.009744	0.006458	0.008669	0.007954	0.009416	0.008951	0.008582	0.008223	0.009117	0.009678	0.009556	0.007621	0.009338
Lachnospiraceae_bacterium_2_1_58FAA	0.007154	0.005608	0.007234	0.007027	0.008303	0.007175	0.006317	0.006534	0.007749	0.009297	0.007556	0.006453	0.008275
Lachnospiraceae_bacterium_3_1_46FAA	0.021071	0.017058	0.021223	0.020345	0.020426	0.018920	0.017838	0.020703	0.020318	0.022532	0.020574	0.018864	0.020405
Lachnospiraceae_bacterium_3_1_57FAA_CT1	0.035018	0.034453	0.041993	0.043329	0.036954	0.041283	0.042180	0.039647	0.045660	0.054228	0.040732	0.035809	0.044596
Lachnospiraceae_bacterium_4_1_37FAA	0.033727	0.031761	0.047002	0.043765	0.045477	0.045541	0.044898	0.047144	0.045974	0.053654	0.049768	0.034299	0.045587
Lachnospiraceae_bacterium_5_1_57FAA	0.008072	0.006498	0.008356	0.008252	0.008951	0.008028	0.007443	0.007735	0.008912	0.011291	0.008263	0.007284	0.009098
Lachnospiraceae_bacterium_5_1_63FAA	0.027997	0.022985	0.030310	0.028970	0.028209	0.029892	0.026768	0.029211	0.032025	0.034655	0.031244	0.024034	0.028728
Lachnospiraceae_bacterium_6_1_63FAA	0.051323	0.050629	0.054761	0.056061	0.063843	0.061706	0.059483	0.057823	0.063523	0.063701	0.062525	0.052407	0.059929
Lachnospiraceae_bacterium_7_1_58FAA	0.011086	0.009071	0.011574	0.011419	0.012169	0.011259	0.011417	0.011000	0.013029	0.013982	0.011966	0.010497	0.013187
Lachnospiraceae_bacterium_8_1_57FAA	0.018058	0.015626	0.022257	0.020835	0.019730	0.020728	0.021160	0.021082	0.023407	0.028059	0.022226	0.017307	0.023460
Lachnospiraceae_bacterium_9_1_43BFAA	0.035907	0.032357	0.044814	0.043462	0.038585	0.042639	0.042811	0.040406	0.049484	0.057435	0.042285	0.035213	0.046620
Roseburia_hominis	0.025034	0.022012	0.023549	0.024421	0.026300	0.024554	0.023017	0.024472	0.025208	0.026310	0.025735	0.024470	0.025645
Roseburia_intestinalis	0.029482	0.024289	0.032683	0.032620	0.035790	0.035493	0.033344	0.032080	0.035099	0.039867	0.036283	0.026842	0.034087
Roseburia_inulinivorans	0.035685	0.031743	0.041218	0.040693	0.041214	0.040366	0.038138	0.039670	0.041793	0.045900	0.042107	0.033367	0.040426
Roseburia_unclassified	0.018180	0.017040	0.019378	0.020594	0.019919	0.018824	0.019320	0.020001	0.021793	0.024535	0.019041	0.018197	0.019478
Oscillibacter_sp_KLE_1728	0.055172	0.045917	0.052608	0.052956	0.052636	0.051410	0.049941	0.054489	0.055026	0.054132	0.055396	0.054810	0.055834
Oscillibacter_sp_KLE_1745	0.029440	0.022036	0.028703	0.026937	0.026955	0.026538	0.024664	0.025507	0.029130	0.030756	0.027955	0.024209	0.028602
Oscillibacter_unclassified	0.015419	0.011765	0.015276	0.015058	0.017866	0.015472	0.015484	0.015137	0.016963	0.018592	0.015766	0.012616	0.016207
Clostridium_bartlettii	0.015259	0.010979	0.013792	0.013351	0.017705	0.014162	0.013196	0.014180	0.014265	0.014283	0.015662	0.012500	0.013877
Clostridium_difficile	0.053776	0.040514	0.044644	0.044582	0.045397	0.044353	0.043881	0.042522	0.048643	0.048636	0.044860	0.047933	0.050020
Peptostreptococcaceae_noname_unclassified	0.026766	0.022333	0.025820	0.026082	0.028475	0.026202	0.025633	0.025155	0.028130	0.031074	0.027723	0.023175	0.027918
Anaerotruncus_colihominis	0.038712	0.028898	0.031086	0.032099	0.035774	0.029908	0.028620	0.030977	0.034206	0.034941	0.032199	0.032235	0.032437
Anaerotruncus_unclassified	0.035587	0.025214	0.032763	0.031489	0.032860	0.028681	0.025563	0.029219	0.033384	0.039292	0.029841	0.030603	0.033072
Faecalibacterium_prausnitzii	0.087582	0.107255	0.105125	0.110350	0.106211	0.114261	0.127304	0.111309	0.113328	0.137663	0.111356	0.103482	0.120435
Ruminococcaceae_bacterium_D16	0.015618	0.014188	0.018273	0.018346	0.018144	0.018408	0.017482	0.018828	0.019824	0.021351	0.019150	0.016124	0.018158
Ruminococcus_bromii	0.085829	0.087646	0.106265	0.107142	0.084922	0.090465	0.082328	0.094021	0.098438	0.119780	0.088926	0.084923	0.090461
Ruminococcus_callidus	0.025324	0.020475	0.028682	0.027088	0.029524	0.027466	0.025248	0.027459	0.029967	0.031574	0.028794	0.023670	0.027851
Ruminococcus_lactaris	0.028128	0.023227	0.029051	0.028191	0.030176	0.026800	0.026452	0.027263	0.027408	0.029193	0.028134	0.024935	0.026765
Ruminococcus_sp_5_1_39BFAA	0.166313	0.141930	0.194309	0.174914	0.182766	0.180763	0.156395	0.169464	0.174020	0.197508	0.184537	0.151468	0.185058
Subdoligranulum_sp_4_3_54A2FAA	0.048386	0.043400	0.051368	0.052440	0.054663	0.052077	0.052512	0.051144	0.059521	0.063792	0.052404	0.045687	0.053903
Subdoligranulum_unclassified	0.089175	0.077489	0.104481	0.095682	0.099664	0.098894	0.103042	0.103696	0.102605	0.105934	0.106208	0.082321	0.094522
Catenibacterium_mitsuokai	0.054530	0.045847	0.052451	0.054317	0.057642	0.057290	0.059464	0.055736	0.062104	0.062784	0.059716	0.053379	0.062243
Coprobacillus_unclassified	0.017367	0.011099	0.019934	0.016928	0.016927	0.016525	0.014413	0.015872	0.018357	0.021114	0.018635	0.014587	0.018750
Clostridium_ramosum	0.014131	0.011255	0.015096	0.014911	0.014927	0.014793	0.013235	0.014136	0.016177	0.018416	0.015656	0.012703	0.015899
Clostridium_spiroforme	0.044664	0.036697	0.044983	0.045377	0.046828	0.043212	0.041695	0.044404	0.047420	0.050122	0.046516	0.042250	0.045230
Erysipelotrichaceae_bacterium_21_3	0.052004	0.051221	0.058632	0.058597	0.055973	0.054793	0.055568	0.056190	0.058445	0.067967	0.055827	0.052896	0.058070
Erysipelotrichaceae_bacterium_2_2_44A	0.030749	0.028378	0.034031	0.034080	0.036788	0.032717	0.032263	0.034001	0.032025	0.036149	0.034098	0.028786	0.031319
Erysipelotrichaceae_bacterium_3_1_53	0.064591	0.056263	0.060880	0.061006	0.066148	0.064318	0.064485	0.060962	0.070016	0.075083	0.063297	0.059036	0.065549
Erysipelotrichaceae_bacterium_5_2_54FAA	0.035826	0.037412	0.040182	0.042313	0.041343	0.039257	0.040182	0.040557	0.045048	0.051358	0.038760	0.036511	0.041185
Erysipelotrichaceae_bacterium_6_1_45	0.023542	0.023801	0.028813	0.029895	0.027344	0.029165	0.030145	0.029437	0.033725	0.039666	0.029262	0.025762	0.033377
Eubacterium_biforme	0.032426	0.025476	0.034085	0.032234	0.038468	0.032894	0.030681	0.032865	0.029668	0.033656	0.036202	0.027787	0.032258
Eubacterium_cylindroides	0.013555	0.010288	0.014098	0.013427	0.017822	0.015064	0.013849	0.014063	0.014282	0.015370	0.016130	0.011886	0.013966
Eubacterium_dolichum	0.032291	0.026480	0.035010	0.034638	0.036343	0.034565	0.031893	0.034100	0.035722	0.040459	0.036792	0.029191	0.035465
Holdemania_filiformis	0.058749	0.058912	0.070591	0.068879	0.067196	0.069779	0.068907	0.070972	0.069461	0.079019	0.072265	0.058507	0.067154
Holdemania_unclassified	0.027143	0.022665	0.035166	0.031423	0.036106	0.032609	0.031721	0.031496	0.031983	0.039979	0.035190	0.025578	0.035159
Turicibacter_unclassified	0.022608	0.020044	0.026703	0.026095	0.023274	0.024802	0.023752	0.024609	0.028909	0.033622	0.024771	0.021954	0.028326
Acidaminococcus_intestini	0.048480	0.046314	0.053123	0.054172	0.053460	0.049579	0.048304	0.049759	0.054873	0.065928	0.050938	0.047499	0.056082
Acidaminococcus_unclassified	0.037573	0.034571	0.041675	0.041441	0.039740	0.043050	0.042693	0.043840	0.046458	0.047508	0.044884	0.039409	0.044121
Phascolarctobacterium_succinatutens	0.014902	0.012572	0.015035	0.015225	0.015116	0.014803	0.013674	0.014965	0.016266	0.018685	0.015306	0.014175	0.016638
Dialister_invisus	0.073584	0.077432	0.097169	0.092570	0.094194	0.099707	0.098411	0.097639	0.095066	0.107636	0.102911	0.080519	0.096991
Megamonas_hypermegale	0.045742	0.044993	0.049635	0.052477	0.047823	0.047339	0.047641	0.048460	0.051210	0.057132	0.046775	0.044107	0.047026
Megamonas_unclassified	0.022256	0.020702	0.033583	0.030441	0.027673	0.030917	0.027897	0.029918	0.029086	0.037206	0.032448	0.023905	0.031674
Megasphaera_micronuciformis	0.068764	0.055518	0.063950	0.063523	0.067957	0.063563	0.059646	0.063733	0.068308	0.069122	0.066836	0.064725	0.065602
